group,Channels
ext,MBC FM 4K,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94499
ext,MyHd:MBC_1 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71618
ext,MyHd:MBC_2 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71619
ext,MyHd:MBC_3 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71620
ext,MyHd:MBC_4 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71621
ext,MyHd:MBC_5 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71622
ext,MyHd:MBC_IRAQ 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71623
ext,MyHd:MBC_DRAMA 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71624
ext,MyHd:MBC_DRAMA_PLUS 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71625
ext,MyHd:MBC_MASR_1 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71626
ext,MyHd:MBC_MASR_2 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71627
ext,MyHd:MBC_ACTION 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71628
ext,MyHd:MBC_MAX 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71629
ext,MyHd:MBC_bollywood 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71630
ext,MyHD: Rotana cinema 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71635
ext,MyHD: Rotana_music 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71636
ext,MyHD: Rotana_Classic 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71637
ext,MyHD: Rotana Khalijiah 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71638
ext,MyHD: Rotana Drama 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71639
ext,MyHD: Rotana comedy 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71640
ext,MyHD: Rotana Kides 1080P,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/71641
ext,MyHDᶫᵒ: Mbc 1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52678
ext,MyHDᶫᵒ: Mbc 2 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52679
ext,MyHDᶫᵒ: Mbc 3 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52680
ext,MyHDᶫᵒ: Mbc 4 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52681
ext,MyHDᶫᵒ: Mbc Action HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52682
ext,MyHDᶫᵒ: Mbc Max HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52683
ext,MyHDᶫᵒ: Mbc Drama  HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52684
ext,MyHDᶫᵒ: Mbc Variety HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52685
ext,MyHDᶫᵒ: MBC IRAQ HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/52686
ext,MyHdᴹS:MBC1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29729
ext,MyHdᴹS:MBC2 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29730
ext,MyHdᴹS:MBC3 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29731
ext,MyHdᴹS:MBC4 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29732
ext,MyHd: MBC 5,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48386
ext,MyHdᴹS:MBC Action HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29734
ext,MyHdᴹS:MBC MAX HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29740
ext,MyHdᴹS:MBC Drama HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29733
ext,MyHdᴹS:MBC Drama+ HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29738
ext,MyHdᴹS:MBC Drama HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29737
ext,MyHdᴹS:MBC Variety HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29736
ext,MyHdᴹS:MBC Bollywood HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29735
ext,MyHdᴹS:Fox Life HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29742
ext,MyHdᴹS:Fox Crime HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/29741
ext,MyHdFᴴᴰ:MBC 1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48363
ext,MyHdFᴴᴰ:MBC 2 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48364
ext,MyHdFᴴᴰ:MBC 3 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48365
ext,MyHdFᴴᴰ:MBC 4 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48366
ext,MyHdFᴴᴰ:MBC ACTION HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48367
ext,MyHdFᴴᴰ:MBC DRAMA HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48368
ext,MyHdFᴴᴰ:MBC Bollywood,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48369
ext,MyHdFᴴᴰ:MBC IRAQ HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48370
ext,MyHdFᴴᴰ:MBC MAX HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48371
ext,MyHdFᴴᴰ:MBC PLUS  VARITEY,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48372
ext,MyHdFᴴᴰ: MBC+ Variety HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48373
ext,MyHdFᴴᴰ:ROTANA AFLAM,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48374
ext,MyHdFᴴᴰ:ROTANA CINEMA,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48375
ext,MyHdFᴴᴰ:ROTANA CLASSIC,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48376
ext,MyHdFᴴᴰ:ROTANA DRAMA,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48377
ext,MyHdFᴴᴰ:ROTANA KHALIJIYAH,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48378
ext,MyHdFᴴᴰ:ROTANA MUSIC,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48379
ext,MyHdFᴴᴰ:FAST & FUNBOX,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48381
ext,MyHdFᴴᴰ:CINMA HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48383
ext,MyHd@: MBC+ DRAMA.HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/26864
ext,MyHd@: Fox Crime HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/26868
ext,MyHd@: My Cinema HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/26875
ext,MyHd@: FX HD.,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/26874
ext,Rotana + HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94989
ext,Rotana M+ HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94990
